"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"31/01/2026","39","31","26","84%","4m, 44s"
"30/01/2026","49","42","35","88%","2m, 48s"
"29/01/2026","61","56","51","91%","1m, 600ms"
"28/01/2026","78","71","68","92%","2m"
"27/01/2026","69","54","49","83%","3m, 10s"
"26/01/2026","71","54","50","89%","4m, 57s"
"25/01/2026","68","50","48","86%","4m, 42s"
"24/01/2026","72","67","54","96%","2m, 3s"
"23/01/2026","118","100","93","86%","2m, 28s"
"22/01/2026","158","136","129","88%","1m, 40s"
"21/01/2026","91","76","74","84%","2m, 7s"
"20/01/2026","32","29","28","93%","43s"
"19/01/2026","61","48","43","83%","4m, 15s"
"18/01/2026","54","44","42","86%","7m, 18s"
"17/01/2026","23","22","21","95%","14s"
"16/01/2026","21","19","18","89%","10m, 31s"
"15/01/2026","41","34","31","85%","4m, 30s"
"14/01/2026","49","46","40","93%","3m, 10s"
"13/01/2026","79","70","66","90%","3m, 25s"
"12/01/2026","78","57","55","81%","2m, 23s"
"11/01/2026","57","47","45","83%","58s"
"10/01/2026","38","35","33","94%","1m, 38s"
"09/01/2026","46","43","39","93%","1m, 41s"
"08/01/2026","55","47","44","83%","1m, 3s"
"07/01/2026","58","51","47","90%","2m, 32s"
"06/01/2026","50","45","43","89%","4m, 25s"
"05/01/2026","74","62","52","90%","3m, 36s"
"04/01/2026","63","60","49","95%","42s, 333ms"
"03/01/2026","60","54","53","89%","1m, 24s"
"02/01/2026","158","138","135","88%","2m, 54s"
"01/01/2026","140","121","111","88%","2m, 56s"
"31/12/2025","71","58","53","81%","5m, 33s"
"30/12/2025","67","51","49","88%","5m, 17s"
"29/12/2025","51","49","47","96%","27s"
"28/12/2025","56","48","46","88%","2m, 34s"
"27/12/2025","33","32","31","97%","38s"
"26/12/2025","33","27","27","89%","20s"
"25/12/2025","35","26","26","77%","3m, 33s"
"24/12/2025","53","38","38","82%","3m, 41s"
"23/12/2025","41","35","34","86%","2m, 11s"
"22/12/2025","51","41","38","90%","2m, 8s"
"21/12/2025","44","40","39","93%","8m, 8s"
"20/12/2025","88","75","64","89%","4m, 32s"
"19/12/2025","110","90","89","90%","1m, 18s"
"18/12/2025","157","143","138","92%","2m, 7s"
"17/12/2025","165","150","146","91%","2m, 8s"
"16/12/2025","18","17","17","94%","1m, 4s"
"15/12/2025","23","22","20","95%","1m, 39s"
"14/12/2025","30","29","24","97%","19s"
"13/12/2025","29","27","27","93%","2m, 25s"
"12/12/2025","50","47","46","94%","2m, 5s"
"11/12/2025","83","79","78","95%","1m, 33s"
"10/12/2025","208","199","191","95%","2m, 24s"
"09/12/2025","70","63","63","90%","7m, 8s"
"08/12/2025","33","26","24","77%","2m, 19s"
"07/12/2025","103","35","33","51%","2m, 15s"
"06/12/2025","106","45","31","58%","1m, 56s"
"05/12/2025","130","66","46","67%","1m, 50s"
"04/12/2025","168","65","50","54%","2m, 11s"
"03/12/2025","124","53","45","47%","1m, 43s"
"02/12/2025","205","86","72","52%","1m, 28s"
"01/12/2025","125","58","44","59%","2m, 32s"
"30/11/2025","122","60","46","58%","46s, 300ms"
"29/11/2025","108","53","43","58%","1m, 30s"
"28/11/2025","124","49","44","53%","1m, 40s"
"27/11/2025","153","69","58","61%","2m, 22s"
"26/11/2025","243","105","100","50%","1m, 32s"
"25/11/2025","242","104","93","48%","38s, 951ms"
"24/11/2025","246","116","103","51%","1m, 41s"
"23/11/2025","262","111","99","51%","1m, 28s"
"22/11/2025","152","65","58","49%","1m, 31s"
"21/11/2025","293","125","110","52%","1m, 24s"
"20/11/2025","348","157","142","48%","1m, 13s"
"19/11/2025","515","214","202","45%","1m, 108ms"
"18/11/2025","130","42","39","48%","1m, 22s"
"17/11/2025","91","39","35","41%","42s, 857ms"
"16/11/2025","90","48","38","58%","2m, 18s"
"15/11/2025","88","41","35","56%","1m, 20s"
"14/11/2025","140","56","50","45%","1m, 17s"
"13/11/2025","72","30","27","50%","1m, 8s"
"12/11/2025","94","49","40","61%","2m, 51s"
"11/11/2025","134","50","45","40%","1m, 53s"
"10/11/2025","75","47","40","68%","21s"
"09/11/2025","164","67","60","51%","1m, 43s"
"08/11/2025","108","47","38","64%","2m, 18s"
"07/11/2025","196","84","71","46%","1m, 40s"
"06/11/2025","724","328","289","48%","59s, 456ms"
"05/11/2025","1,137","494","455","47%","43s, 920ms"
"04/11/2025","462","184","154","42%","1m, 35s"
"03/11/2025","144","68","63","60%","44s, 314ms"
"02/11/2025","129","57","52","51%","55s, 83ms"
"01/11/2025","112","50","45","60%","39s, 577ms"
